stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.055556,0.015873,1.166667,0.333333,ok,21,483,23.000000,462,25.610606,202.898120,16.766516,08:46:57,18:10:23
2,405,42.245764,-71.830529,Orange,inbound,1,sunday,19;27;33,ok,3,21,3.381746,0.626984,71.016663,13.166666,ok,21,483,23.000000,462,25.619697,204.518854,16.801286,08:47:56,18:11:34
3,407,42.24688,-71.82828,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.370635,0.083333,7.783333,1.750000,ok,21,483,23.000000,462,25.623485,206.254436,16.836457,08:48:29,18:12:12
4,408,42.24764,-71.82689,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.642857,0.530952,13.500000,11.150000,ok,21,483,23.000000,462,25.626515,206.088350,16.834256,08:48:52,18:12:39
5,409,42.24835,-71.82557,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.697619,0.338095,14.649999,7.100000,ok,21,483,23.000000,462,25.630303,206.131001,16.836388,08:49:16,18:13:08
6,410,42.24972,-71.82303,Orange,inbound,1,sunday,19;27;33,ok,3,21,1.832540,0.546825,38.483332,11.483333,ok,21,483,23.000000,462,25.636364,206.231405,16.840426,08:50:00,18:14:00
7,412,42.25139,-71.81993,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.673016,0.250794,14.133333,5.266666,ok,21,483,23.000000,462,25.676515,207.510698,16.879123,08:50:38,18:15:31
8,413,42.25213,-71.81855,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.263492,0.155556,5.533333,3.266667,ok,21,483,23.000000,462,25.696212,208.192953,16.899150,08:50:55,18:16:14
9,414,42.25336,-71.81625,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.488095,0.315079,10.250000,6.616666,ok,21,483,23.000000,462,25.727273,209.424711,16.933728,08:51:26,18:17:26
10,415,42.25429,-71.81474,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.784127,1.382540,16.466666,29.033332,ok,21,483,23.000000,462,25.753030,210.618753,16.965718,08:51:50,18:18:24
11,416,42.25545,-71.81245,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.124603,0.172222,2.616667,3.616667,ok,21,483,23.000000,462,25.788636,212.478368,17.013931,08:52:23,18:19:44
12,417,42.25635,-71.81071,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.781746,0.902381,16.416666,18.949999,ok,21,483,23.000000,462,25.812879,213.711917,17.046077,08:52:45,18:20:38
13,419,42.25772,-71.80814,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.419048,0.646825,8.800000,13.583333,ok,21,483,23.000000,462,25.844697,214.451348,17.071195,08:53:16,18:21:51
14,420,42.2588,-71.80617,Orange,inbound,1,sunday,19;27;33,ok,3,21,1.026984,0.550000,21.566666,11.550000,ok,21,483,23.000000,462,25.871970,215.460237,17.099955,08:53:41,18:22:52
15,421,42.25986,-71.80474,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.576984,0.968254,12.116666,20.333332,ok,21,483,23.000000,462,25.894697,216.349656,17.124838,08:54:04,18:23:45
16,196,42.26308,-71.80221,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.217460,1.544444,4.566666,32.433332,ok,21,483,23.000000,462,25.954545,219.043388,17.197023,08:55:00,18:26:00
17,1503,42.260898,-71.796662,Orange,inbound,1,sunday,19;27;33,ok,3,21,0.000000,9.996031,0.000000,209.916658,ok,21,483,23.000000,462,25.909091,224.173554,17.280702,09:00:00,18:30:00
