stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,404,42.24483,-71.83436,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.036801,0.046189,2.980871,3.741295,ok,104,8466,81.403846,8362,13.279307,127.906439,11.455659,05:10:23,23:00:47
2,405,42.245764,-71.830529,Orange,inbound,1,weekday,19;27;33,ok,3,81,3.462162,0.798181,280.435094,64.652689,ok,104,8466,81.403846,8362,13.281348,127.456556,11.439003,05:11:34,23:02:09
3,407,42.24688,-71.82828,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.486648,0.192532,39.418473,15.595112,ok,104,8466,81.403846,8362,13.282895,127.095966,11.425644,05:12:12,23:02:55
4,408,42.24764,-71.82689,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.970070,0.515456,78.575670,41.751938,ok,104,8466,81.403846,8362,13.283636,127.162195,11.428241,05:12:39,23:03:26
5,409,42.24835,-71.82557,Orange,inbound,1,weekday,19;27;33,ok,3,81,1.176036,0.382645,95.258912,30.994269,ok,104,8466,81.403846,8362,13.284573,127.307485,11.433840,05:13:08,23:04:00
6,410,42.24972,-71.82303,Orange,inbound,1,weekday,19;27;33,ok,3,81,1.762409,0.597405,142.755151,48.389816,ok,104,8466,81.403846,8362,13.286056,127.755531,11.450908,05:14:00,23:05:00
7,412,42.25139,-71.81993,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.727023,0.261831,58.888858,21.208282,ok,104,8466,81.403846,8362,13.283126,128.492125,11.478230,05:15:31,23:06:16
8,413,42.25213,-71.81855,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.566016,0.287126,45.847328,23.257230,ok,104,8466,81.403846,8362,13.281559,128.961510,11.495688,05:16:14,23:06:51
9,414,42.25336,-71.81625,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.977513,0.635376,79.178524,51.465482,ok,104,8466,81.403846,8362,13.279419,129.906616,11.530986,05:17:26,23:07:52
10,415,42.25429,-71.81474,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.973303,0.833342,78.837557,67.500725,ok,104,8466,81.403846,8362,13.277462,130.321646,11.546357,05:18:24,23:08:40
11,416,42.25545,-71.81245,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.154253,0.291999,12.494524,23.651948,ok,104,8466,81.403846,8362,13.274926,131.040670,11.573109,05:19:44,23:09:47
12,417,42.25635,-71.81071,Orange,inbound,1,weekday,19;27;33,ok,3,81,1.352647,0.866715,109.564427,70.203924,ok,104,8466,81.403846,8362,13.272965,131.545714,11.591883,05:20:38,23:10:31
13,419,42.25772,-71.80814,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.692640,0.639766,56.103822,51.821064,ok,104,8466,81.403846,8362,13.270621,132.190773,11.615890,05:21:51,23:11:32
14,420,42.2588,-71.80617,Orange,inbound,1,weekday,19;27;33,ok,3,81,1.101629,0.948110,89.231950,76.796905,ok,104,8466,81.403846,8362,13.268672,132.829281,11.639708,05:22:52,23:12:23
15,421,42.25986,-71.80474,Orange,inbound,1,weekday,19;27;33,ok,3,81,1.111340,1.116384,90.018547,90.427103,ok,104,8466,81.403846,8362,13.267113,133.435288,11.662355,05:23:45,23:13:08
16,196,42.26308,-71.80221,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.780770,2.235255,63.242348,181.055660,ok,104,8466,81.403846,8362,13.262617,135.270425,11.730997,05:26:00,23:15:00
17,1503,42.260898,-71.796662,Orange,inbound,1,weekday,19;27;33,ok,3,81,0.000000,14.420211,0.000000,1168.037077,ok,104,8466,81.403846,8362,13.274336,136.360760,11.773423,05:30:00,23:20:00
