stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,saturday,19;27;33,ok,3,54,11.287963,0.036420,609.549984,1.966667,ok,21,1344,64.000000,1323,16.111111,86.860670,10.751232,05:30:00,22:25:00
2,1508,42.26111,-71.79987,Orange,outbound,0,saturday,19;27,ok,3,54,0.131481,0.160494,7.100000,8.666666,ok,21,903,43.000000,882,21.071429,176.828231,14.731638,05:32:37,20:17:37
3,24,42.26178,-71.80149,Orange,outbound,0,saturday,19;27;33,ok,3,54,1.038272,0.228086,56.066665,12.316666,ok,21,1344,64.000000,1323,16.111111,86.860670,10.751232,05:33:00,22:28:00
4,442,42.26082,-71.80386,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.882407,0.662963,47.649999,35.799999,ok,21,1344,64.000000,1323,16.106878,85.358515,10.703193,05:34:19,22:29:03
5,444,42.25807,-71.80762,Orange,outbound,0,saturday,19;27;33,ok,3,54,1.375000,1.534259,74.249998,82.849997,ok,21,1344,64.000000,1323,16.100794,83.755145,10.651360,05:36:12,22:30:33
6,445,42.25677,-71.81008,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.505247,0.339198,27.283332,18.316666,ok,21,1344,64.000000,1323,16.097884,83.140763,10.631293,05:37:08,22:31:18
7,447,42.25565,-71.81225,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.500000,0.710494,26.999999,38.366666,ok,21,1344,64.000000,1323,16.094974,82.752563,10.618245,05:38:04,22:32:03
8,448,42.2544,-71.81473,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.968518,1.293827,52.299998,69.866665,ok,21,1344,64.000000,1323,16.091534,82.296339,10.602899,05:39:11,22:32:57
9,449,42.25362,-71.81601,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.485494,0.374074,26.216666,20.200000,ok,21,1344,64.000000,1323,16.089683,82.096847,10.596068,05:39:44,22:33:23
10,450,42.25246,-71.81816,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.343827,0.358951,18.566666,19.383333,ok,21,1344,64.000000,1323,16.086508,81.803949,10.585880,05:40:44,22:34:11
11,451,42.25138,-71.82017,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.158333,0.412037,8.550000,22.249999,ok,21,1344,64.000000,1323,16.083598,81.600128,10.578549,05:41:37,22:34:53
12,452,42.24994,-71.82285,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.628086,1.045679,33.916666,56.466665,ok,21,1344,64.000000,1323,16.079365,81.311162,10.568115,05:43:00,22:36:00
13,453,42.24928,-71.82404,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.336728,0.584259,18.183333,31.549999,ok,21,1344,64.000000,1323,16.077778,81.748959,10.581185,05:43:23,22:36:17
14,455,42.24766,-71.82706,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.559259,1.407099,30.199999,75.983331,ok,21,1344,64.000000,1323,16.073545,82.977730,10.617962,05:44:18,22:36:56
15,456,42.24669,-71.8288,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.106481,0.434877,5.750000,23.483333,ok,21,1344,64.000000,1323,16.071164,83.177074,10.623356,05:44:49,22:37:18
16,457,42.24546,-71.83141,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.651852,1.643518,35.199999,88.749997,ok,21,1344,64.000000,1323,16.067725,82.921912,10.614250,05:45:37,22:37:53
17,459,42.244708,-71.835516,Orange,outbound,0,saturday,19;27;33,ok,3,54,0.081481,0.305864,4.400000,16.516666,ok,21,1218,58.000000,1197,16.139766,92.287814,10.928903,05:46:44,21:06:42
