stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,sunday,19;27;33,ok,3,21,10.172222,0.000000,213.616662,0.000000,ok,21,483,23.000000,462,23.181818,167.148760,15.196078,09:00:00,17:30:00
2,1508,42.26111,-71.79987,Orange,outbound,0,sunday,19;27,ok,3,21,0.055556,0.000000,1.166667,0.000000,ok,21,315,15.000000,294,36.428571,465.816327,24.607843,09:02:37,17:32:37
3,24,42.26178,-71.80149,Orange,outbound,0,sunday,19;27;33,ok,3,21,1.140476,0.210317,23.949999,4.416667,ok,21,483,23.000000,462,23.181818,167.148760,15.196078,09:03:00,17:33:00
4,442,42.26082,-71.80386,Orange,outbound,0,sunday,19;27;33,ok,3,21,1.132540,0.483333,23.783333,10.150000,ok,21,483,23.000000,462,23.200000,165.498990,15.166789,09:03:55,17:34:19
5,444,42.25807,-71.80762,Orange,outbound,0,sunday,19;27;33,ok,3,21,1.188889,1.396825,24.966666,29.333333,ok,21,483,23.000000,462,23.225758,163.728781,15.137603,09:05:14,17:36:12
6,445,42.25677,-71.81008,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.345238,0.326190,7.250000,6.850000,ok,21,483,23.000000,462,23.237879,163.178111,15.129977,09:05:54,17:37:08
7,447,42.25565,-71.81225,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.544444,0.969841,11.433333,20.366666,ok,21,483,23.000000,462,23.250758,162.509785,15.120099,09:06:33,17:38:04
8,448,42.2544,-71.81473,Orange,outbound,0,sunday,19;27;33,ok,3,21,1.135714,1.535714,23.849999,32.249999,ok,21,483,23.000000,462,23.266667,162.261616,15.120331,09:07:19,17:39:11
9,449,42.25362,-71.81601,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.298413,0.344444,6.266667,7.233333,ok,21,483,23.000000,462,23.273485,162.214537,15.121707,09:07:43,17:39:44
10,450,42.25246,-71.81816,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.294444,0.532540,6.183333,11.183333,ok,21,483,23.000000,462,23.287879,162.419449,15.131149,09:08:24,17:40:44
11,451,42.25138,-71.82017,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.107143,0.534921,2.250000,11.233333,ok,21,483,23.000000,462,23.300000,162.802727,15.143621,09:09:01,17:41:37
12,452,42.24994,-71.82285,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.861905,1.223016,18.100000,25.683333,ok,21,483,23.000000,462,23.318182,163.853306,15.172515,09:10:00,17:43:00
13,453,42.24928,-71.82404,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.368254,0.549206,7.733333,11.533333,ok,21,483,23.000000,462,23.304545,162.818363,15.145548,09:10:41,17:43:23
14,455,42.24766,-71.82706,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.414286,0.956349,8.700000,20.083333,ok,21,483,23.000000,462,23.273485,160.965143,15.094865,09:12:16,17:44:17
15,456,42.24669,-71.8288,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.210317,0.309524,4.416667,6.500000,ok,21,483,23.000000,462,23.255303,160.186979,15.071747,09:13:10,17:44:47
16,457,42.24546,-71.83141,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.798413,1.497619,16.766666,31.449999,ok,21,483,23.000000,462,23.228030,159.478621,15.046907,09:14:33,17:45:34
17,459,42.244708,-71.835516,Orange,outbound,0,sunday,19;27;33,ok,3,21,0.063492,0.151587,1.333333,3.183333,ok,21,483,23.000000,462,23.195455,159.612000,15.038315,09:16:28,17:46:46
