stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,service_type,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,service_day_count,total_arrivals,mean_arrivals_per_service_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
1,1503,42.260898,-71.796662,Orange,outbound,0,weekday,19;27;33,ok,3,82,13.932273,0.015063,1142.446424,1.235139,ok,104,8468,81.423077,8364,13.027260,97.495192,10.255598,04:50:00,22:20:00
2,1508,42.26111,-71.79987,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.301789,0.236750,24.746677,19.413473,ok,104,5670,54.519231,5566,18.349066,117.922443,12.387842,04:53:00,21:17:37
3,24,42.26178,-71.80149,Orange,outbound,0,weekday,19;27;33,ok,3,82,1.522194,0.428560,124.819935,35.141879,ok,104,8060,77.500000,7956,13.182504,89.232404,9.975753,05:33:00,22:23:00
4,442,42.26082,-71.80386,Orange,outbound,0,weekday,19;27;33,ok,3,82,1.385946,0.894812,113.647586,73.374587,ok,104,8468,81.423077,8364,13.029559,96.266222,10.208927,04:54:00,22:24:11
5,444,42.25807,-71.80762,Orange,outbound,0,weekday,19;27;33,ok,3,82,1.508479,1.697516,123.695261,139.196317,ok,104,8468,81.423077,8364,13.038594,96.359690,10.214469,04:54:58,22:25:53
6,445,42.25677,-71.81008,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.493329,0.491141,40.452953,40.273558,ok,104,8468,81.423077,8364,13.042699,96.362483,10.215465,04:55:28,22:26:43
7,447,42.25565,-71.81225,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.586548,1.164054,48.096947,95.452468,ok,104,8468,81.423077,8364,13.048234,96.506195,10.222173,04:55:52,22:27:34
8,448,42.2544,-71.81473,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.967316,1.515479,79.319907,124.269289,ok,104,8468,81.423077,8364,13.054185,96.641481,10.228644,04:56:23,22:28:34
9,449,42.25362,-71.81601,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.491488,0.520786,40.302043,42.704454,ok,104,8468,81.423077,8364,13.057050,96.692976,10.231236,04:56:38,22:29:03
10,450,42.25246,-71.81816,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.336142,0.627105,27.563647,51.422605,ok,104,8468,81.423077,8364,13.062793,96.922318,10.241258,04:57:04,22:29:57
11,451,42.25138,-71.82017,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.163803,0.533833,13.431819,43.774287,ok,104,8468,81.423077,8364,13.067918,97.160083,10.251463,04:57:27,22:30:45
12,452,42.24994,-71.82285,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.573859,1.476699,47.056407,121.089281,ok,104,8468,81.423077,8364,13.076518,97.657225,10.272327,04:58:00,22:32:00
13,453,42.24928,-71.82404,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.317778,0.727136,26.057800,59.625171,ok,104,8468,81.423077,8364,13.076120,97.746914,10.275672,04:58:25,22:32:23
14,455,42.24766,-71.82706,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.503041,1.589047,41.249401,130.301814,ok,104,8468,81.423077,8364,13.074307,97.942152,10.282750,04:59:29,22:33:18
15,456,42.24669,-71.8288,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.171126,0.559522,14.032325,45.880818,ok,104,8468,81.423077,8364,13.073099,97.947934,10.282713,05:00:06,22:33:49
16,457,42.24546,-71.83141,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.668394,1.991858,54.808284,163.332372,ok,104,8468,81.423077,8364,13.071485,98.013226,10.284866,05:01:02,22:34:37
17,459,42.244708,-71.835516,Orange,outbound,0,weekday,19;27;33,ok,3,82,0.124557,0.368843,10.213668,30.245119,ok,104,8460,81.346154,8356,13.062446,98.577276,10.304531,05:02:20,22:35:44
