origin,time,corridor,onboardings,car_trips_0_800m,car_trips_0_1600m,car_trips_800_1600m,bus_ratio_near,bus_ratio_all
415;448,04:00 - 06:00,Orange,151,55,44,15,0.733010,0.569811
408;455,04:00 - 06:00,Orange,50,38,26,8,0.568182,0.409836
412;451,04:00 - 06:00,Orange,27,47,59,25,0.364865,0.170886
416;447,04:00 - 06:00,Orange,7,52,52,31,0.118644,0.049296
410;452,04:00 - 06:00,Orange,133,35,66,13,0.791667,0.538462
414;449,04:00 - 06:00,Orange,58,53,41,9,0.522523,0.360248
407;456,04:00 - 06:00,Orange,23,39,46,18,0.370968,0.182540
413;450,04:00 - 06:00,Orange,17,52,77,27,0.246377,0.098266
419;444;420,04:00 - 06:00,Orange,58,81,67,24,0.417266,0.252174
417;445,04:00 - 06:00,Orange,97,30,72,24,0.763780,0.434978
405;457,04:00 - 06:00,Orange,87,67,34,0,0.564935,0.462766
404;459,04:00 - 06:00,Orange,0,69,95,33,0.000000,0.000000
421;442,04:00 - 06:00,Orange,62,125,127,29,0.331551,0.180758
196;24;1508,04:00 - 06:00,Orange,16,69,54,10,0.188235,0.107383
409;453,04:00 - 06:00,Orange,16,36,51,22,0.307692,0.128000
1503,04:00 - 06:00,all,432,71,55,6,0.858847,0.765957
1125;1163;1162,04:00 - 06:00,Blue,1,20,5,0,0.047619,0.038462
1134;1153,04:00 - 06:00,Blue,2,12,11,7,0.142857,0.062500
21;28;1612,04:00 - 06:00,Blue,0,94,79,25,0.000000,0.000000
1131;1158,04:00 - 06:00,Blue,4,18,24,4,0.181818,0.080000
1135;1152,04:00 - 06:00,Blue,2,25,13,2,0.074074,0.047619
584;604,04:00 - 06:00,Blue,4,28,68,22,0.125000,0.032787
1139;1149,04:00 - 06:00,Blue,0,35,26,1,0.000000,0.000000
1138;1150;1137,04:00 - 06:00,Blue,8,29,23,1,0.216216,0.131148
1124;1164,04:00 - 06:00,Blue,0,20,30,19,0.000000,0.000000
343;349,04:00 - 06:00,Blue,26,63,31,3,0.292135,0.211382
1136;1151,04:00 - 06:00,Blue,0,23,21,8,0.000000,0.000000
342;350,04:00 - 06:00,Blue,12,57,32,14,0.173913,0.104348
1141;1147,04:00 - 06:00,Blue,0,23,20,1,0.000000,0.000000
1132;1155;1156,04:00 - 06:00,Blue,1,12,12,11,0.076923,0.027778
1133;1154,04:00 - 06:00,Blue,6,9,31,14,0.400000,0.100000
1130;1159;1160,04:00 - 06:00,Blue,1,31,17,0,0.031250,0.020408
345;347,04:00 - 06:00,Blue,0,62,137,79,0.000000,0.000000
344;348,04:00 - 06:00,Blue,24,49,73,32,0.328767,0.134831
1140;1148,04:00 - 06:00,Blue,0,24,44,15,0.000000,0.000000
1127;1161,04:00 - 06:00,Blue,0,43,24,0,0.000000,0.000000
1855,04:00 - 06:00,Blue,0,3,1,3,0.000000,0.000000
187;204,04:00 - 06:00,Green,57,31,19,6,0.647727,0.504425
661;674,04:00 - 06:00,Green,1,31,17,5,0.031250,0.018519
184;207,04:00 - 06:00,Green,43,21,28,2,0.671875,0.457447
657;678,04:00 - 06:00,Green,26,23,19,1,0.530612,0.376812
656;679,04:00 - 06:00,Green,18,30,23,3,0.375000,0.243243
1383;1461;1384,04:00 - 06:00,Green,37,50,57,22,0.425287,0.222892
665;670,04:00 - 06:00,Green,5,12,14,6,0.294118,0.135135
659;676;675,04:00 - 06:00,Green,0,29,19,3,0.000000,0.000000
664;671,04:00 - 06:00,Green,18,40,38,7,0.310345,0.174757
185;206,04:00 - 06:00,Green,26,37,17,8,0.412698,0.295455
662;673,04:00 - 06:00,Green,1,41,57,18,0.023810,0.008547
1385;1459,04:00 - 06:00,Green,16,66,51,8,0.195122,0.113475
658;677,04:00 - 06:00,Green,0,16,13,0,0.000000,0.000000
663;672,04:00 - 06:00,Green,19,17,20,5,0.527778,0.311475
183;209,04:00 - 06:00,Green,75,17,30,6,0.815217,0.585938
186;205,04:00 - 06:00,Green,15,21,4,0,0.416667,0.375000
188;203,04:00 - 06:00,Green,70,38,58,22,0.648148,0.372340
388;823,04:00 - 06:00,Green,140,74,64,16,0.654206,0.476190
1386;95,04:00 - 06:00,Green,1,52,33,17,0.018868,0.009709
415;448,06:00 - 09:00,Orange,482,325,295,89,0.597274,0.404702
408;455,06:00 - 09:00,Orange,416,279,252,80,0.598561,0.405063
412;451,06:00 - 09:00,Orange,193,262,433,190,0.424176,0.179035
416;447,06:00 - 09:00,Orange,103,232,391,180,0.307463,0.113687
410;452,06:00 - 09:00,Orange,679,255,294,120,0.726981,0.503709
414;449,06:00 - 09:00,Orange,407,238,224,97,0.631008,0.421325
407;456,06:00 - 09:00,Orange,137,151,279,107,0.475694,0.203264
413;450,06:00 - 09:00,Orange,243,289,368,175,0.456767,0.226047
419;444;420,06:00 - 09:00,Orange,508,541,528,169,0.484271,0.290951
417;445,06:00 - 09:00,Orange,540,291,472,191,0.649819,0.361446
405;457,06:00 - 09:00,Orange,979,398,201,13,0.710966,0.615336
404;459,06:00 - 09:00,Orange,23,626,797,256,0.035439,0.013514
421;442,06:00 - 09:00,Orange,494,741,696,212,0.400000,0.230518
196;24;1508,06:00 - 09:00,Orange,422,523,316,123,0.446561,0.304913
409;453,06:00 - 09:00,Orange,363,269,392,178,0.574367,0.301997
1503,06:00 - 09:00,all,6160,722,425,55,0.895089,0.836729
1125;1163;1162,06:00 - 09:00,Blue,64,157,60,4,0.289593,0.224561
1134;1153,06:00 - 09:00,Blue,4,61,105,41,0.061538,0.018957
21;28;1612,06:00 - 09:00,Blue,35,630,576,149,0.052632,0.025180
1131;1158,06:00 - 09:00,Blue,40,134,209,78,0.229885,0.086768
1135;1152,06:00 - 09:00,Blue,7,177,107,19,0.038043,0.022581
584;604,06:00 - 09:00,Blue,113,193,352,157,0.369281,0.138650
1139;1149,06:00 - 09:00,Blue,4,251,187,20,0.015686,0.008658
