Origin,0-800m Trips,0-1600m Trips,800-1600m Trips
415;448,547,577,145
408;455,444,461,171
412;451,494,731,419
416;447,432,825,442
410;452,555,728,384
414;449,348,494,243
407;456,298,518,264
413;450,454,919,541
419;444;420,1014,1162,454
417;445,429,731,413
405;457,1018,613,33
404;459,1281,1993,726
421;442,1653,1617,413
196;24;1508,1153,900,200
409;453,527,734,368
1503,1445,1011,171
1125;1163;1162,188,148,22
1134;1153,103,217,106
21;28;1612,1338,1598,532
1131;1158,295,281,96
1135;1152,325,209,34
584;604,378,515,237
1139;1149,476,239,33
1138;1150;1137,622,364,29
1124;1164,456,832,438
343;349,443,356,86
1136;1151,294,257,83
342;350,786,541,96
1141;1147,293,212,34
1132;1155;1156,386,318,87
1133;1154,193,245,100
1130;1159;1160,765,375,2
345;347,592,1671,957
344;348,431,614,297
1140;1148,373,354,86
1127;1161,546,277,8
1855,270,170,43
187;204,242,214,64
661;674,282,273,98
184;207,344,240,67
657;678,387,255,38
656;679,693,349,34
1383;1461;1384,643,630,213
665;670,222,275,130
659;676;675,551,389,88
664;671,682,926,370
185;206,352,197,46
662;673,941,924,311
1385;1459,895,591,127
658;677,286,159,12
663;672,530,573,266
183;209,272,293,96
186;205,246,110,10
188;203,511,791,322
388;823,2715,1785,253
1386;95,782,627,130
