origin,time,corridor,onboardings,car_trips_0_800m,car_trips_0_1600m,car_trips_800_1600m,bus_ratio_near,bus_ratio_all,bus_ratio_near_projected,projected_ridership,ridership_increase
415;448,09:00 - 15:00,Orange,1877,1212,1040,314,0.607640,0.422462,0.643090,1986.505010,109.505010
408;455,09:00 - 15:00,Orange,1105,747,714,295,0.596652,0.386229,0.632102,1170.652904,65.652904
412;451,09:00 - 15:00,Orange,597,840,1254,618,0.415449,0.180417,0.450899,647.941863,50.941863
416;447,09:00 - 15:00,Orange,488,791,1558,822,0.381548,0.133370,0.416998,533.340442,45.340442
410;452,09:00 - 15:00,Orange,1816,990,1190,500,0.647185,0.403915,0.682635,1915.473810,99.473810
414;449,09:00 - 15:00,Orange,1078,743,833,350,0.591982,0.358855,0.627432,1142.553672,64.553672
407;456,09:00 - 15:00,Orange,471,564,927,457,0.455072,0.194709,0.490522,507.690270,36.690270
413;450,09:00 - 15:00,Orange,823,876,1427,689,0.484403,0.215727,0.519853,883.230247,60.230247
419;444;420,09:00 - 15:00,Orange,3833,2158,2015,613,0.639793,0.444715,0.675243,4045.380813,212.380813
417;445,09:00 - 15:00,Orange,1821,929,1621,832,0.662182,0.349990,0.697632,1918.488000,97.488000
405;457,09:00 - 15:00,Orange,3571,1782,1084,80,0.667103,0.547952,0.702553,3760.766209,189.766209
404;459,09:00 - 15:00,Orange,208,2276,3331,1197,0.083736,0.029663,0.119186,296.058024,88.058024
421;442,09:00 - 15:00,Orange,2082,3319,2805,688,0.385484,0.234090,0.420934,2273.464534,191.464534
196;24;1508,09:00 - 15:00,Orange,2505,2524,1682,386,0.498111,0.352966,0.533561,2683.278269,178.278269
409;453,09:00 - 15:00,Orange,1229,923,1295,557,0.571097,0.306943,0.606547,1305.289144,76.289144
1503,09:00 - 15:00,all,24474,2450,1528,218,0.909003,0.853645,0.951543,25619.343732,1145.343732
1125;1163;1162,09:00 - 15:00,Blue,199,484,277,25,0.291362,0.202030,0.340992,232.897536,33.897536
1134;1153,09:00 - 15:00,Blue,59,178,327,175,0.248945,0.079838,0.298575,70.762275,11.762275
21;28;1612,09:00 - 15:00,Blue,78,2109,2402,837,0.035665,0.014375,0.085295,186.540165,108.540165
1131;1158,09:00 - 15:00,Blue,41,512,483,194,0.074141,0.033333,0.123771,68.445363,27.445363
1135;1152,09:00 - 15:00,Blue,44,473,334,51,0.085106,0.048780,0.134736,69.658512,25.658512
584;604,09:00 - 15:00,Blue,211,584,1038,458,0.265409,0.092100,0.315039,250.456005,39.456005
1139;1149,09:00 - 15:00,Blue,60,789,432,55,0.070671,0.044910,0.120301,102.135549,42.135549
1138;1150;1137,09:00 - 15:00,Blue,428,972,565,57,0.305714,0.211672,0.355344,497.481600,69.481600
1124;1164,09:00 - 15:00,Blue,48,836,2021,1116,0.054299,0.011937,0.103929,91.873236,43.873236
343;349,09:00 - 15:00,Blue,532,772,621,160,0.407975,0.255156,0.457605,596.716920,64.716920
1136;1151,09:00 - 15:00,Blue,65,533,440,148,0.108696,0.054806,0.158326,94.678948,29.678948
342;350,09:00 - 15:00,Blue,540,1044,836,186,0.340909,0.207214,0.390539,618.613776,78.613776
1141;1147,09:00 - 15:00,Blue,83,482,376,55,0.146903,0.083333,0.196533,111.041145,28.041145
1132;1155;1156,09:00 - 15:00,Blue,128,528,513,132,0.195122,0.098386,0.244752,160.557312,32.557312
1133;1154,09:00 - 15:00,Blue,98,398,397,138,0.197581,0.095053,0.247211,122.616656,24.616656
1130;1159;1160,09:00 - 15:00,Blue,130,1154,625,12,0.101246,0.067673,0.150876,193.724784,63.724784
345;347,09:00 - 15:00,Blue,9,1097,2641,1448,0.008137,0.001732,0.057767,63.890302,54.890302
344;348,09:00 - 15:00,Blue,546,782,1196,518,0.411145,0.179487,0.460775,611.909200,65.909200
1140;1148,09:00 - 15:00,Blue,92,627,613,192,0.127955,0.060367,0.177585,127.683615,35.683615
1127;1161,09:00 - 15:00,Blue,28,1102,540,10,0.024779,0.016667,0.074409,84.082170,56.082170
1855,09:00 - 15:00,Blue,826,429,267,73,0.658167,0.517868,0.707797,888.285235,62.285235
187;204,09:00 - 15:00,Green,464,569,372,141,0.449177,0.300129,0.491717,507.943661,43.943661
661;674,09:00 - 15:00,Green,160,833,571,163,0.161128,0.092646,0.203668,202.242324,42.242324
184;207,09:00 - 15:00,Green,797,595,464,135,0.572557,0.400301,0.615097,856.215024,59.215024
657;678,09:00 - 15:00,Green,260,663,361,62,0.281690,0.193165,0.324230,299.264290,39.264290
656;679,09:00 - 15:00,Green,763,1170,575,55,0.394723,0.297698,0.437263,845.229379,82.229379
1383;1461;1384,09:00 - 15:00,Green,618,1315,1138,352,0.319710,0.180543,0.362250,700.229250,82.229250
665;670,09:00 - 15:00,Green,206,562,536,209,0.268229,0.136153,0.310769,238.670592,32.670592
659;676;675,09:00 - 15:00,Green,59,1143,732,210,0.049085,0.027519,0.091625,110.133250,51.133250
664;671,09:00 - 15:00,Green,741,1305,1381,466,0.362170,0.190342,0.404710,828.036660,87.036660
185;206,09:00 - 15:00,Green,544,678,391,112,0.445172,0.315362,0.487712,595.984064,51.984064
662;673,09:00 - 15:00,Green,37,2108,1908,624,0.017249,0.007911,0.059789,128.247405,91.247405
1385;1459,09:00 - 15:00,Green,206,2374,1408,219,0.079845,0.048966,0.122385,315.753300,109.753300
658;677,09:00 - 15:00,Green,87,546,295,32,0.137441,0.090625,0.179981,113.927973,26.927973
663;672,09:00 - 15:00,Green,212,1194,1194,414,0.150782,0.070338,0.193322,271.810732,59.810732
183;209,09:00 - 15:00,Green,1927,846,837,209,0.694915,0.504582,0.737455,2044.962715,117.962715
186;205,09:00 - 15:00,Green,150,479,232,19,0.238474,0.170455,0.281014,176.757806,26.757806
188;203,09:00 - 15:00,Green,1695,1262,1401,512,0.573216,0.348049,0.615756,1820.790492,125.790492
388;823,09:00 - 15:00,Green,2851,4518,2899,491,0.386891,0.264987,0.429431,3164.477039,313.477039
1386;95,09:00 - 15:00,Green,126,1615,1105,263,0.072372,0.040528,0.114912,200.061792,74.061792
415;448,15:00 - 18:00,Orange,746,658,593,170,0.531339,0.344255,0.566789,795.771756,49.771756
408;455,15:00 - 18:00,Orange,401,389,384,152,0.507595,0.302413,0.543045,429.005550,28.005550
412;451,15:00 - 18:00,Orange,247,467,683,334,0.345938,0.142692,0.381388,272.311032,25.311032
416;447,15:00 - 18:00,Orange,190,526,921,435,0.265363,0.091699,0.300813,215.382108,25.382108
410;452,15:00 - 18:00,Orange,922,568,750,319,0.618792,0.360297,0.654242,974.820580,52.820580
414;449,15:00 - 18:00,Orange,300,353,485,208,0.459418,0.222883,0.494868,323.148804,23.148804
