Origin,Destination,Date range: 2024-08-01 - 2024-08-28 Time range: 04:00 - 06:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 04:00 - 06:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 06:00 - 09:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 06:00 - 09:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 09:00 - 15:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 09:00 - 15:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 15:00 - 18:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 15:00 - 18:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 18:00 - 22:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 18:00 - 22:00 Percent,Date range: 2024-08-01 - 2024-08-28 Time range: 22:00 - 00:00 Trips,Date range: 2024-08-01 - 2024-08-28 Time range: 22:00 - 00:00 Percent
415;448_0-400m,415;448_0-400m,5,0.015,29,0.011,112,0.014,43,0.009,58,0.015,12,0.015
415;448_0-400m,415;448_400-800m,1,0.003,6,0.002,26,0.003,10,0.002,16,0.004,1,0.001
415;448_0-400m,408;455_0-400m,0,0,6,0.002,42,0.005,15,0.003,29,0.007,4,0.005
415;448_0-400m,408;455_400-800m,1,0.003,4,0.001,9,0.001,7,0.002,8,0.002,0,0
415;448_0-400m,412;451_0-400m,2,0.006,10,0.004,35,0.004,27,0.006,15,0.004,4,0.005
415;448_0-400m,412;451_400-800m,1,0.003,10,0.004,48,0.006,21,0.005,24,0.006,4,0.005
415;448_0-400m,416;447_0-400m,2,0.006,17,0.006,67,0.009,23,0.005,20,0.005,5,0.006
415;448_0-400m,416;447_400-800m,1,0.003,11,0.004,60,0.008,35,0.008,36,0.009,5,0.006
415;448_0-400m,410;452_0-400m,0,0,9,0.003,60,0.008,25,0.005,9,0.002,2,0.002
415;448_0-400m,410;452_400-800m,1,0.003,3,0.001,39,0.005,18,0.004,26,0.007,5,0.006
415;448_0-400m,414;449_0-400m,0,0,14,0.005,60,0.008,41,0.009,21,0.005,6,0.007
415;448_0-400m,414;449_400-800m,1,0.003,14,0.005,37,0.005,16,0.004,22,0.006,8,0.01
415;448_0-400m,407;456_0-400m,1,0.003,2,0.001,13,0.002,10,0.002,5,0.001,4,0.005
415;448_0-400m,407;456_400-800m,0,0,1,0,12,0.002,10,0.002,8,0.002,1,0.001
415;448_0-400m,413;450_0-400m,1,0.003,11,0.004,43,0.005,15,0.003,23,0.006,3,0.004
415;448_0-400m,413;450_400-800m,0,0,10,0.004,61,0.008,37,0.008,46,0.012,11,0.014
415;448_0-400m,419;444;420_0-400m,4,0.012,19,0.007,69,0.009,53,0.012,33,0.008,7,0.009
415;448_0-400m,419;444;420_400-800m,0,0,13,0.005,30,0.004,15,0.003,12,0.003,4,0.005
415;448_0-400m,417;445_0-400m,1,0.003,11,0.004,38,0.005,27,0.006,11,0.003,7,0.009
415;448_0-400m,417;445_400-800m,1,0.003,10,0.004,39,0.005,31,0.007,16,0.004,2,0.002
415;448_0-400m,405;457_0-400m,3,0.009,7,0.003,48,0.006,27,0.006,20,0.005,4,0.005
415;448_0-400m,405;457_400-800m,0,0,0,0,1,0,1,0,3,0.001,0,0
415;448_0-400m,404;459_0-400m,1,0.003,4,0.001,37,0.005,25,0.005,16,0.004,3,0.004
415;448_0-400m,404;459_400-800m,2,0.006,5,0.002,47,0.006,30,0.007,23,0.006,4,0.005
415;448_0-400m,421;442_0-400m,3,0.009,32,0.012,87,0.011,43,0.009,42,0.011,4,0.005
415;448_0-400m,421;442_400-800m,0,0,3,0.001,20,0.003,14,0.003,10,0.003,0,0
415;448_0-400m,196;24;1508_0-400m,5,0.015,12,0.004,34,0.004,29,0.006,16,0.004,5,0.006
415;448_0-400m,196;24;1508_400-800m,0,0,2,0.001,11,0.001,6,0.001,2,0.001,4,0.005
415;448_0-400m,409;453_0-400m,0,0,8,0.003,42,0.005,19,0.004,25,0.006,0,0
415;448_0-400m,409;453_400-800m,0,0,8,0.003,18,0.002,8,0.002,11,0.003,2,0.002
415;448_0-400m,1503_0-400m,0,0,13,0.005,52,0.007,33,0.007,23,0.006,7,0.009
415;448_0-400m,1503_400-800m,0,0,1,0,13,0.002,6,0.001,2,0.001,2,0.002
415;448_0-400m,1125;1163;1162_0-400m,0,0,0,0,2,0,0,0,2,0.001,3,0.004
415;448_0-400m,1125;1163;1162_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,1134;1153_0-400m,1,0.003,0,0,4,0.001,0,0,0,0,0,0
415;448_0-400m,1134;1153_400-800m,0,0,0,0,1,0,0,0,2,0.001,0,0
415;448_0-400m,21;28;1612_0-400m,0,0,3,0.001,15,0.002,9,0.002,8,0.002,0,0
415;448_0-400m,21;28;1612_400-800m,0,0,10,0.004,20,0.003,5,0.001,1,0,3,0.004
415;448_0-400m,1131;1158_0-400m,0,0,1,0,4,0.001,0,0,0,0,0,0
415;448_0-400m,1131;1158_400-800m,0,0,0,0,0,0,1,0,2,0.001,0,0
415;448_0-400m,1135;1152_0-400m,0,0,0,0,7,0.001,2,0,3,0.001,0,0
415;448_0-400m,1135;1152_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,584;604_0-400m,1,0.003,2,0.001,10,0.001,3,0.001,8,0.002,1,0.001
415;448_0-400m,584;604_400-800m,0,0,1,0,7,0.001,3,0.001,2,0.001,2,0.002
415;448_0-400m,1139;1149_0-400m,1,0.003,1,0,6,0.001,1,0,6,0.002,0,0
415;448_0-400m,1139;1149_400-800m,0,0,0,0,0,0,0,0,1,0,0,0
415;448_0-400m,1138;1150;1137_0-400m,0,0,1,0,5,0.001,5,0.001,0,0,1,0.001
415;448_0-400m,1138;1150;1137_400-800m,0,0,0,0,0,0,0,0,0,0,0,0
415;448_0-400m,1124;1164_0-400m,0,0,3,0.001,3,0,4,0.001,0,0,1,0.001
415;448_0-400m,1124;1164_400-800m,0,0,5,0.002,9,0.001,6,0.001,4,0.001,0,0
415;448_0-400m,343;349_0-400m,0,0,0,0,5,0.001,3,0.001,9,0.002,3,0.004
415;448_0-400m,343;349_400-800m,0,0,0,0,3,0,1,0,3,0.001,0,0
415;448_0-400m,1136;1151_0-400m,0,0,5,0.002,4,0.001,1,0,2,0.001,0,0
415;448_0-400m,1136;1151_400-800m,0,0,0,0,1,0,0,0,4,0.001,0,0
415;448_0-400m,342;350_0-400m,0,0,2,0.001,6,0.001,7,0.002,4,0.001,2,0.002
415;448_0-400m,342;350_400-800m,0,0,0,0,2,0,1,0,1,0,0,0
415;448_0-400m,1141;1147_0-400m,0,0,0,0,3,0,0,0,7,0.002,2,0.002
415;448_0-400m,1141;1147_400-800m,0,0,0,0,1,0,0,0,1,0,0,0
415;448_0-400m,1132;1155;1156_0-400m,0,0,0,0,4,0.001,1,0,1,0,1,0.001
415;448_0-400m,1132;1155;1156_400-800m,0,0,1,0,1,0,0,0,0,0,0,0
415;448_0-400m,1133;1154_0-400m,0,0,0,0,2,0,2,0,1,0,0,0
415;448_0-400m,1133;1154_400-800m,0,0,1,0,2,0,2,0,0,0,0,0
415;448_0-400m,1130;1159;1160_0-400m,0,0,2,0.001,11,0.001,2,0,2,0.001,1,0.001
