Origin,Trips to 0-400m regions,Trips to 400-800m regions
415;448_0-400m,547,365
415;448_400-800m,212,145
408;455_0-400m,444,232
408;455_400-800m,229,171
412;451_0-400m,494,254
412;451_400-800m,477,419
416;447_0-400m,432,237
416;447_400-800m,588,442
410;452_0-400m,555,261
410;452_400-800m,467,384
414;449_0-400m,348,213
414;449_400-800m,281,243
407;456_0-400m,298,164
407;456_400-800m,354,264
413;450_0-400m,454,278
413;450_400-800m,641,541
419;444;420_0-400m,1014,654
419;444;420_400-800m,508,454
417;445_0-400m,429,223
417;445_400-800m,508,413
405;457_0-400m,1018,567
405;457_400-800m,46,33
404;459_0-400m,1281,754
404;459_400-800m,1239,726
421;442_0-400m,1653,1012
421;442_400-800m,605,413
196;24;1508_0-400m,1153,647
196;24;1508_400-800m,253,200
409;453_0-400m,527,266
409;453_400-800m,468,368
1503_0-400m,1445,808
1503_400-800m,203,171
1125;1163;1162_0-400m,188,112
1125;1163;1162_400-800m,36,22
1134;1153_0-400m,103,53
1134;1153_400-800m,164,106
21;28;1612_0-400m,1338,737
21;28;1612_400-800m,861,532
1131;1158_0-400m,295,147
1131;1158_400-800m,134,96
1135;1152_0-400m,325,161
1135;1152_400-800m,48,34
584;604_0-400m,378,160
584;604_400-800m,355,237
1139;1149_0-400m,476,178
1139;1149_400-800m,61,33
1138;1150;1137_0-400m,622,310
1138;1150;1137_400-800m,54,29
1124;1164_0-400m,456,237
1124;1164_400-800m,595,438
343;349_0-400m,443,217
343;349_400-800m,139,86
1136;1151_0-400m,294,117
1136;1151_400-800m,140,83
342;350_0-400m,786,375
342;350_400-800m,166,96
1141;1147_0-400m,293,152
1141;1147_400-800m,60,34
1132;1155;1156_0-400m,386,206
1132;1155;1156_400-800m,112,87
1133;1154_0-400m,193,98
1133;1154_400-800m,147,100
1130;1159;1160_0-400m,765,361
1130;1159;1160_400-800m,14,2
345;347_0-400m,592,384
345;347_400-800m,1287,957
344;348_0-400m,431,228
344;348_400-800m,386,297
1140;1148_0-400m,373,180
1140;1148_400-800m,174,86
1127;1161_0-400m,546,247
1127;1161_400-800m,30,8
1855_0-400m,270,134
1855_400-800m,36,43
187;204_0-400m,242,111
187;204_400-800m,103,64
661;674_0-400m,282,105
661;674_400-800m,168,98
184;207_0-400m,344,129
184;207_400-800m,111,67
657;678_0-400m,387,184
657;678_400-800m,71,38
656;679_0-400m,693,275
656;679_400-800m,74,34
1383;1461;1384_0-400m,643,324
1383;1461;1384_400-800m,306,213
665;670_0-400m,222,100
665;670_400-800m,175,130
659;676;675_0-400m,551,247
659;676;675_400-800m,142,88
664;671_0-400m,682,360
664;671_400-800m,566,370
185;206_0-400m,352,114
185;206_400-800m,83,46
662;673_0-400m,941,501
662;673_400-800m,423,311
1385;1459_0-400m,895,411
1385;1459_400-800m,180,127
658;677_0-400m,286,142
658;677_400-800m,17,12
663;672_0-400m,530,309
663;672_400-800m,264,266
183;209_0-400m,272,89
183;209_400-800m,204,96
186;205_0-400m,246,90
186;205_400-800m,20,10
188;203_0-400m,511,267
188;203_400-800m,524,322
388;823_0-400m,2715,1227
388;823_400-800m,558,253
1386;95_0-400m,782,408
1386;95_400-800m,219,130
