service_id,date,exception_type
0_3,20260513,1
0_4,20260514,1
0_5,20260515,1
1_6,20260516,1
2_7,20260517,1
0_1,20260518,1
0_2,20260519,1
0_3,20260520,1
0_4,20260521,1
0_5,20260522,1
1_6,20260523,1
2_7,20260524,1
0_2,20260526,1
0_3,20260527,1
0_4,20260528,1
0_5,20260529,1
1_6,20260530,1
2_7,20260531,1
0_1,20260601,1
0_2,20260602,1
0_3,20260603,1
0_4,20260604,1
0_5,20260605,1
1_6,20260606,1
2_7,20260607,1
0_1,20260608,1
0_2,20260609,1
0_3,20260610,1
0_4,20260611,1
0_5,20260612,1
1_6,20260613,1
2_7,20260614,1
0_1,20260615,1
0_2,20260616,1
0_3,20260617,1
0_4,20260618,1
1_6,20260619,1
1_6,20260620,1
2_7,20260621,1
0_1,20260622,1
0_2,20260623,1
0_3,20260624,1
0_4,20260625,1
0_5,20260626,1
1_6,20260627,1
2_7,20260628,1
0_1,20260629,1
0_2,20260630,1
0_3,20260701,1
0_4,20260702,1
0_5,20260703,1
1_6,20260704,1
2_7,20260705,1
0_1,20260706,1
0_2,20260707,1
0_3,20260708,1
0_4,20260709,1
0_5,20260710,1
1_6,20260711,1
2_7,20260712,1
0_1,20260713,1
0_2,20260714,1
0_3,20260715,1
0_4,20260716,1
0_5,20260717,1
1_6,20260718,1
2_7,20260719,1
0_1,20260720,1
0_2,20260721,1
0_3,20260722,1
0_4,20260723,1
0_5,20260724,1
1_6,20260725,1
2_7,20260726,1
0_1,20260727,1
0_2,20260728,1
0_3,20260729,1
0_4,20260730,1
0_5,20260731,1
1_6,20260801,1
2_7,20260802,1
0_1,20260803,1
0_2,20260804,1
0_3,20260805,1
0_4,20260806,1
0_5,20260807,1
1_6,20260808,1
2_7,20260809,1
0_1,20260810,1
0_2,20260811,1
